rank,title,description,runtime(min),genre,rating,metascore,votes,gross,director,actors
21.,Vivarium,A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.,97,"Comedy, Horror, Mystery",5.8,64.0,"131,565",$174.53M,Lorcan Finnegan,"Imogen Poots, Danielle Ryan, Molly McCann, Jesse Eisenberg"
22.,Star Wars: Episode IX - The Rise of Skywalker,"The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end.",141,"Action, Adventure, Fantasy",6.6,53.0,"196,595",$69.18M,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver"
23.,Jumanji: The Next Level,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",123,"Action, Adventure, Comedy",6.7,58.0,"129,516",$26.02M,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan"
24.,Terminator: Dark Fate,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",128,"Action, Adventure, Sci-Fi",6.2,54.0,"315,541",$215.29M,Tim Miller,"Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes"
25.,Ad Astra,"Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.",123,"Adventure, Drama, Mystery",6.6,80.0,"175,057",$140.22M,James Gray,"Brad Pitt, Tommy Lee Jones, Ruth Negga, Donald Sutherland"
26.,Jojo Rabbit,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,108,"Comedy, Drama, War",7.9,58.0,"26,386",$30.57M,Taika Waititi,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi"
27.,It Chapter Two,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",169,"Drama, Fantasy, Horror",6.6,58.0,"388,679",$188.02M,Andy Muschietti,"Jessica Chastain, James McAvoy, Bill Hader, Isaiah Mustafa"
28.,Yip Man 4,The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,107,"Action, Biography, Drama",7.1,62.0,"141,502",$143.01M,Wilson Yip,"Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan, Vanness Wu"
29.,The Irishman,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",209,"Biography, Crime, Drama",7.9,94.0,"269,587",$32.73M,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel"
30.,Ready or Not,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,95,"Comedy, Horror, Mystery",6.8,64.0,"264,767",,"Matt Bettinelli-Olpin, ","Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny"
31.,Frozen II,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",103,"Animation, Adventure, Comedy",6.9,64.0,"293,141",$216.65M,"Chris Buck, ","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff"
32.,The Lighthouse,Two lighthouse keepers try to maintain their sanity whilst living on a remote and mysterious New England island in the 1890s.,109,"Drama, Fantasy, Horror",7.6,83.0,"254,813",$417.72M,Robert Eggers,"Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes"
33.,The Lion King,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",118,"Animation, Adventure, Drama",6.9,55.0,"118,651",$50.07M,Jon Favreau,"Donald Glover, Beyoncé, Seth Rogen, Chiwetel Ejiofor"
34.,Bombshell,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,109,"Biography, Drama",6.8,64.0,"72,938",$171.96M,Jay Roach,"Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow"
35.,Guns Akimbo,A guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.,98,"Action, Comedy, Thriller",6.3,42.0,"124,203",$102.08M,Jason Lei Howden,"Samara Weaving, Daniel Radcliffe, Rhys Darby, Ned Dennehy"
36.,Bad Education,"The beloved superintendent of New York's Roslyn school district and his staff, friends and relatives become the prime suspects in the unfolding of the single largest public school embezzlement scandal in American history.",108,"Biography, Comedy, Crime",7.1,79.0,"56,280",$2.47M,Cory Finley,"Hugh Jackman, Ray Romano, Welker White, Allison Janney"
37.,6 Underground,"Meet a new kind of action hero. Six untraceable agents, totally off the grid. They've buried their pasts so they can change the future.",128,"Action, Thriller",6.1,41.0,"80,905",,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy"
38.,Hustlers,"Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.",110,"Comedy, Crime, Drama",6.3,79.0,"111,562",$117.45M,Lorene Scafaria,"Constance Wu, Jennifer Lopez, Julia Stiles, Mette Towley"
